"initial_alias","converted_alias","name","description","namespace"
"SMAP2","ENSG00000084070","SMAP2","small ArfGAP2 [Source:HGNC Symbol;Acc:HGNC:25082]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PPIE","ENSG00000084072","PPIE","peptidylprolyl isomerase E [Source:HGNC Symbol;Acc:HGNC:9258]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZMPSTE24","ENSG00000084073","ZMPSTE24","zinc metallopeptidase STE24 [Source:HGNC Symbol;Acc:HGNC:12877]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"STARD7","ENSG00000084090","STARD7","StAR related lipid transfer domain containing 7 [Source:HGNC Symbol;Acc:HGNC:18063]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NOA1","ENSG00000084092","NOA1","nitric oxide associated 1 [Source:HGNC Symbol;Acc:HGNC:28473]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"REST","ENSG00000084093","REST","RE1 silencing transcription factor [Source:HGNC Symbol;Acc:HGNC:9966]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HAL","ENSG00000084110","HAL","histidine ammonia-lyase [Source:HGNC Symbol;Acc:HGNC:4806]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SSH1","ENSG00000084112","SSH1","slingshot protein phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:30579]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GSTP1","ENSG00000084207","GSTP1","glutathione S-transferase pi 1 [Source:HGNC Symbol;Acc:HGNC:4638]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"APLP2","ENSG00000084234","APLP2","amyloid beta precursor like protein 2 [Source:HGNC Symbol;Acc:HGNC:598]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FAM234B","ENSG00000084444","FAM234B","family with sequence similarity 234 member B [Source:HGNC Symbol;Acc:HGNC:29288]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SLCO1A2","ENSG00000084453","SLCO1A2","solute carrier organic anion transporter family member 1A2 [Source:HGNC Symbol;Acc:HGNC:10956]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"WBP11","ENSG00000084463","WBP11","WW domain binding protein 11 [Source:HGNC Symbol;Acc:HGNC:16461]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF3I","ENSG00000084623","EIF3I","eukaryotic translation initiation factor 3 subunit I [Source:HGNC Symbol;Acc:HGNC:3272]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NKAIN1","ENSG00000084628","NKAIN1","sodium/potassium transporting ATPase interacting 1 [Source:HGNC Symbol;Acc:HGNC:25743]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"COL16A1","ENSG00000084636","COL16A1","collagen type XVI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2193]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TXLNA","ENSG00000084652","TXLNA","taxilin alpha [Source:HGNC Symbol;Acc:HGNC:30685]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"APOB","ENSG00000084674","APOB","apolipoprotein B [Source:HGNC Symbol;Acc:HGNC:603]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NCOA1","ENSG00000084676","NCOA1","nuclear receptor coactivator 1 [Source:HGNC Symbol;Acc:HGNC:7668]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGBL5","ENSG00000084693","AGBL5","AGBL carboxypeptidase 5 [Source:HGNC Symbol;Acc:HGNC:26147]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EFR3B","ENSG00000084710","EFR3B","EFR3 homolog B [Source:HGNC Symbol;Acc:HGNC:29155]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KIF3C","ENSG00000084731","KIF3C","kinesin family member 3C [Source:HGNC Symbol;Acc:HGNC:6321]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RAB10","ENSG00000084733","RAB10","RAB10, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9759]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GCKR","ENSG00000084734","GCKR","glucokinase regulator [Source:HGNC Symbol;Acc:HGNC:4196]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HADHA","ENSG00000084754","HADHA","hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha [Source:HGNC Symbol;Acc:HGNC:4801]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MAPRE3","ENSG00000084764","MAPRE3","microtubule associated protein RP/EB family member 3 [Source:HGNC Symbol;Acc:HGNC:6892]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CAD","ENSG00000084774","CAD","carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase [Source:HGNC Symbol;Acc:HGNC:1424]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CD59","ENSG00000085063","CD59","CD59 molecule (CD59 blood group) [Source:HGNC Symbol;Acc:HGNC:1689]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CD59","ENSG00000284969","None","novel protein","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CD82","ENSG00000085117","CD82","CD82 molecule [Source:HGNC Symbol;Acc:HGNC:6210]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BCORL1","ENSG00000085185","BCORL1","BCL6 corepressor like 1 [Source:HGNC Symbol;Acc:HGNC:25657]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ATRX","ENSG00000085224","ATRX","ATRX chromatin remodeler [Source:HGNC Symbol;Acc:HGNC:886]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AK6","ENSG00000085231","AK6","adenylate kinase 6 [Source:HGNC Symbol;Acc:HGNC:49151]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FCN1","ENSG00000085265","FCN1","ficolin 1 [Source:HGNC Symbol;Acc:HGNC:3623]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MYNN","ENSG00000085274","MYNN","myoneurin [Source:HGNC Symbol;Acc:HGNC:14955]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MECOM","ENSG00000085276","MECOM","MDS1 and EVI1 complex locus [Source:HGNC Symbol;Acc:HGNC:3498]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SCAMP1","ENSG00000085365","SCAMP1","secretory carrier membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:10563]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PREP","ENSG00000085377","PREP","prolyl endopeptidase [Source:HGNC Symbol;Acc:HGNC:9358]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HACE1","ENSG00000085382","HACE1","HECT domain and ankyrin repeat containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:21033]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SEH1L","ENSG00000085415","SEH1L","SEH1 like nucleoporin [Source:HGNC Symbol;Acc:HGNC:30379]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"WDR47","ENSG00000085433","WDR47","WD repeat domain 47 [Source:HGNC Symbol;Acc:HGNC:29141]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"WDFY1","ENSG00000085449","WDFY1","WD repeat and FYVE domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20451]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OVGP1","ENSG00000085465","OVGP1","oviductal glycoprotein 1 [Source:HGNC Symbol;Acc:HGNC:8524]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SLC25A24","ENSG00000085491","SLC25A24","solute carrier family 25 member 24 [Source:HGNC Symbol;Acc:HGNC:20662]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MAP3K4","ENSG00000085511","MAP3K4","mitogen-activated protein kinase kinase kinase 4 [Source:HGNC Symbol;Acc:HGNC:6856]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PILRA","ENSG00000085514","PILRA","paired immunoglobin like type 2 receptor alpha [Source:HGNC Symbol;Acc:HGNC:20396]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"IGSF9","ENSG00000085552","IGSF9","immunoglobulin superfamily member 9 [Source:HGNC Symbol;Acc:HGNC:18132]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ABCB1","ENSG00000085563","ABCB1","ATP binding cassette subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:40]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZNF213","ENSG00000085644","ZNF213","zinc finger protein 213 [Source:HGNC Symbol;Acc:HGNC:13005]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AKR1B1","ENSG00000085662","AKR1B1","aldo-keto reductase family 1 member B [Source:HGNC Symbol;Acc:HGNC:381]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CPNE3","ENSG00000085719","CPNE3","copine 3 [Source:HGNC Symbol;Acc:HGNC:2316]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RRN3","ENSG00000085721","RRN3","RRN3 homolog, RNA polymerase I transcription factor [Source:HGNC Symbol;Acc:HGNC:30346]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CTTN","ENSG00000085733","CTTN","cortactin [Source:HGNC Symbol;Acc:HGNC:3338]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"WNT11","ENSG00000085741","WNT11","Wnt family member 11 [Source:HGNC Symbol;Acc:HGNC:12776]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MTIF2","ENSG00000085760","MTIF2","mitochondrial translational initiation factor 2 [Source:HGNC Symbol;Acc:HGNC:7441]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DDHD2","ENSG00000085788","DDHD2","DDHD domain containing 2 [Source:HGNC Symbol;Acc:HGNC:29106]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TTC39A","ENSG00000085831","TTC39A","tetratricopeptide repeat domain 39A [Source:HGNC Symbol;Acc:HGNC:18657]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EPS15","ENSG00000085832","EPS15","epidermal growth factor receptor pathway substrate 15 [Source:HGNC Symbol;Acc:HGNC:3419]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ORC1","ENSG00000085840","ORC1","origin recognition complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:8487]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MGST2","ENSG00000085871","MGST2","microsomal glutathione S-transferase 2 [Source:HGNC Symbol;Acc:HGNC:7063]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CHERP","ENSG00000085872","CHERP","calcium homeostasis endoplasmic reticulum protein [Source:HGNC Symbol;Acc:HGNC:16930]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ATG16L1","ENSG00000085978","ATG16L1","autophagy related 16 like 1 [Source:HGNC Symbol;Acc:HGNC:21498]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"USP40","ENSG00000085982","USP40","ubiquitin specific peptidase 40 [Source:HGNC Symbol;Acc:HGNC:20069]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"POMGNT1","ENSG00000085998","POMGNT1","protein O-linked mannose N-acetylglucosaminyltransferase 1 (beta 1,2-) [Source:HGNC Symbol;Acc:HGNC:19139]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RAD54L","ENSG00000085999","RAD54L","RAD54 like [Source:HGNC Symbol;Acc:HGNC:9826]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MAST2","ENSG00000086015","MAST2","microtubule associated serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:19035]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DNAJA1","ENSG00000086061","DNAJA1","DnaJ heat shock protein family (Hsp40) member A1 [Source:HGNC Symbol;Acc:HGNC:5229]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"B4GALT1","ENSG00000086062","B4GALT1","beta-1,4-galactosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:924]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CHMP5","ENSG00000086065","CHMP5","charged multivesicular body protein 5 [Source:HGNC Symbol;Acc:HGNC:26942]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NFX1","ENSG00000086102","NFX1","nuclear transcription factor, X-box binding 1 [Source:HGNC Symbol;Acc:HGNC:7803]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AQP6","ENSG00000086159","AQP6","aquaporin 6 [Source:HGNC Symbol;Acc:HGNC:639]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DIMT1","ENSG00000086189","DIMT1","DIM1 rRNA methyltransferase and ribosome maturation factor [Source:HGNC Symbol;Acc:HGNC:30217]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"IPO11","ENSG00000086200","IPO11","importin 11 [Source:HGNC Symbol;Acc:HGNC:20628]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FOLH1","ENSG00000086205","FOLH1","folate hydrolase 1 [Source:HGNC Symbol;Acc:HGNC:3788]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF2AK1","ENSG00000086232","EIF2AK1","eukaryotic translation initiation factor 2 alpha kinase 1 [Source:HGNC Symbol;Acc:HGNC:24921]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NME8","ENSG00000086288","NME8","NME/NM23 family member 8 [Source:HGNC Symbol;Acc:HGNC:16473]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EPDR1","ENSG00000086289","EPDR1","ependymin related 1 [Source:HGNC Symbol;Acc:HGNC:17572]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EPDR1","ENSG00000290149","None","novel protein, GPR141-NME8-EPDR1 readthrough","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SNX10","ENSG00000086300","SNX10","sorting nexin 10 [Source:HGNC Symbol;Acc:HGNC:14974]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SEPHS1","ENSG00000086475","SEPHS1","selenophosphate synthetase 1 [Source:HGNC Symbol;Acc:HGNC:19685]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MRPL28","ENSG00000086504","MRPL28","mitochondrial ribosomal protein L28 [Source:HGNC Symbol;Acc:HGNC:14484]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HBQ1","ENSG00000086506","HBQ1","hemoglobin subunit theta 1 [Source:HGNC Symbol;Acc:HGNC:4833]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ITPKC","ENSG00000086544","ITPKC","inositol-trisphosphate 3-kinase C [Source:HGNC Symbol;Acc:HGNC:14897]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CEACAM6","ENSG00000086548","CEACAM6","CEA cell adhesion molecule 6 [Source:HGNC Symbol;Acc:HGNC:1818]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FAT2","ENSG00000086570","FAT2","FAT atypical cadherin 2 [Source:HGNC Symbol;Acc:HGNC:3596]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RBM22","ENSG00000086589","RBM22","RNA binding motif protein 22 [Source:HGNC Symbol;Acc:HGNC:25503]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TMED2","ENSG00000086598","TMED2","transmembrane p24 trafficking protein 2 [Source:HGNC Symbol;Acc:HGNC:16996]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ERO1B","ENSG00000086619","ERO1B","endoplasmic reticulum oxidoreductase 1 beta [Source:HGNC Symbol;Acc:HGNC:14355]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZFAND6","ENSG00000086666","ZFAND6","zinc finger AN1-type containing 6 [Source:HGNC Symbol;Acc:HGNC:30164]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HSD17B2","ENSG00000086696","HSD17B2","hydroxysteroid 17-beta dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:5211]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TXLNG","ENSG00000086712","TXLNG","taxilin gamma [Source:HGNC Symbol;Acc:HGNC:18578]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PPEF1","ENSG00000086717","PPEF1","protein phosphatase with EF-hand domain 1 [Source:HGNC Symbol;Acc:HGNC:9243]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LAT2","ENSG00000086730","LAT2","linker for activation of T cells family member 2 [Source:HGNC Symbol;Acc:HGNC:12749]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HUWE1","ENSG00000086758","HUWE1","HECT, UBA and WWE domain containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:30892]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZW10","ENSG00000086827","ZW10","zw10 kinetochore protein [Source:HGNC Symbol;Acc:HGNC:13194]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ALG9","ENSG00000086848","ALG9","ALG9 alpha-1,2-mannosyltransferase [Source:HGNC Symbol;Acc:HGNC:15672]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MYBPC2","ENSG00000086967","MYBPC2","myosin binding protein C2 [Source:HGNC Symbol;Acc:HGNC:7550]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NOX4","ENSG00000086991","NOX4","NADPH oxidase 4 [Source:HGNC Symbol;Acc:HGNC:7891]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ACOX3","ENSG00000087008","ACOX3","acyl-CoA oxidase 3, pristanoyl [Source:HGNC Symbol;Acc:HGNC:121]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MTMR2","ENSG00000087053","MTMR2","myotubularin related protein 2 [Source:HGNC Symbol;Acc:HGNC:7450]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PPP1R15A","ENSG00000087074","PPP1R15A","protein phosphatase 1 regulatory subunit 15A [Source:HGNC Symbol;Acc:HGNC:14375]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HSD17B14","ENSG00000087076","HSD17B14","hydroxysteroid 17-beta dehydrogenase 14 [Source:HGNC Symbol;Acc:HGNC:23238]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TRIP6","ENSG00000087077","TRIP6","thyroid hormone receptor interactor 6 [Source:HGNC Symbol;Acc:HGNC:12311]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ACHE","ENSG00000087085","ACHE","acetylcholinesterase (Cartwright blood group) [Source:HGNC Symbol;Acc:HGNC:108]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FTL","ENSG00000087086","FTL","ferritin light chain [Source:HGNC Symbol;Acc:HGNC:3999]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SRRT","ENSG00000087087","SRRT","serrate, RNA effector molecule [Source:HGNC Symbol;Acc:HGNC:24101]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BAX","ENSG00000087088","BAX","BCL2 associated X, apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:959]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NLK","ENSG00000087095","NLK","nemo like kinase [Source:HGNC Symbol;Acc:HGNC:29858]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PIGS","ENSG00000087111","PIGS","phosphatidylinositol glycan anchor biosynthesis class S [Source:HGNC Symbol;Acc:HGNC:14937]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ADAMTS2","ENSG00000087116","ADAMTS2","ADAM metallopeptidase with thrombospondin type 1 motif 2 [Source:HGNC Symbol;Acc:HGNC:218]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TMPRSS11E","ENSG00000087128","TMPRSS11E","transmembrane serine protease 11E [Source:HGNC Symbol;Acc:HGNC:24465]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ATXN7L3","ENSG00000087152","ATXN7L3","ataxin 7 like 3 [Source:HGNC Symbol;Acc:HGNC:25416]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PGS1","ENSG00000087157","PGS1","phosphatidylglycerophosphate synthase 1 [Source:HGNC Symbol;Acc:HGNC:30029]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PSMC5","ENSG00000087191","PSMC5","proteasome 26S subunit, ATPase 5 [Source:HGNC Symbol;Acc:HGNC:9552]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"UIMC1","ENSG00000087206","UIMC1","ubiquitin interaction motif containing 1 [Source:HGNC Symbol;Acc:HGNC:30298]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CETP","ENSG00000087237","CETP","cholesteryl ester transfer protein [Source:HGNC Symbol;Acc:HGNC:1869]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MMP2","ENSG00000087245","MMP2","matrix metallopeptidase 2 [Source:HGNC Symbol;Acc:HGNC:7166]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MT3","ENSG00000087250","MT3","metallothionein 3 [Source:HGNC Symbol;Acc:HGNC:7408]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LPCAT2","ENSG00000087253","LPCAT2","lysophosphatidylcholine acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:26032]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GNAO1","ENSG00000087258","GNAO1","G protein subunit alpha o1 [Source:HGNC Symbol;Acc:HGNC:4389]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OGFOD1","ENSG00000087263","OGFOD1","2-oxoglutarate and iron dependent oxygenase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25585]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SH3BP2","ENSG00000087266","SH3BP2","SH3 domain binding protein 2 [Source:HGNC Symbol;Acc:HGNC:10825]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NOP14","ENSG00000087269","NOP14","NOP14 nucleolar protein [Source:HGNC Symbol;Acc:HGNC:16821]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ADD1","ENSG00000087274","ADD1","adducin 1 [Source:HGNC Symbol;Acc:HGNC:243]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"L2HGDH","ENSG00000087299","L2HGDH","L-2-hydroxyglutarate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:20499]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TXNDC16","ENSG00000087301","TXNDC16","thioredoxin domain containing 16 [Source:HGNC Symbol;Acc:HGNC:19965]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RTRAF","ENSG00000087302","RTRAF","RNA transcription, translation and transport factor [Source:HGNC Symbol;Acc:HGNC:23169]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NID2","ENSG00000087303","NID2","nidogen 2 [Source:HGNC Symbol;Acc:HGNC:13389]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GMCL1","ENSG00000087338","GMCL1","germ cell-less 1, spermatogenesis associated [Source:HGNC Symbol;Acc:HGNC:23843]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SF3B2","ENSG00000087365","SF3B2","splicing factor 3b subunit 2 [Source:HGNC Symbol;Acc:HGNC:10769]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KLHL42","ENSG00000087448","KLHL42","kelch like family member 42 [Source:HGNC Symbol;Acc:HGNC:29252]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GNAS","ENSG00000087460","GNAS","GNAS complex locus [Source:HGNC Symbol;Acc:HGNC:4392]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DNM1L","ENSG00000087470","DNM1L","dynamin 1 like [Source:HGNC Symbol;Acc:HGNC:2973]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PTHLH","ENSG00000087494","PTHLH","parathyroid hormone like hormone [Source:HGNC Symbol;Acc:HGNC:9607]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PHACTR3","ENSG00000087495","PHACTR3","phosphatase and actin regulator 3 [Source:HGNC Symbol;Acc:HGNC:15833]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ERGIC2","ENSG00000087502","ERGIC2","ERGIC and golgi 2 [Source:HGNC Symbol;Acc:HGNC:30208]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TFAP2C","ENSG00000087510","TFAP2C","transcription factor AP-2 gamma [Source:HGNC Symbol;Acc:HGNC:11744]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
